Position,Clean sheets,Goals conceded,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Recoveries,Successful 50/50s,Own goals,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Goals per match,Shots,Shooting accuracy %,Saves,Penalties saved,age,value_eur,overall,Arial Saves,Duels %,Aerial battles %
Defender,7.0,6.0,17.0,59,1.0,25.0,70.0,58.0,4.0,1.0,0,426,32.77,0.0,0.0,0,1.0,18.0,2,0,10,0.0,1,0.0,0.0,0,0.0,0.0,23,35500000,84,0.0,61.03896103896104,68.0
Defender,5.0,34.0,25.0,52,1.0,25.0,62.0,87.0,8.0,0.0,3,754,34.27,4.0,75.0,28,0.0,28.0,1,0,7,1.0,2,0.0,0.0,0,0.0,0.0,32,12500000,82,0.0,57.142857142857146,41.1764705882353
Midfielder,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,22,8000000,74,0.0,0.0,0.0
Forward,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,3.5,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,28,1800000,70,0.0,0.0,0.0
Defender,4.0,13.0,17.0,94,0.0,22.0,99.0,61.0,3.0,0.0,0,418,32.15,0.0,19.0,37,0.0,29.0,5,0,22,0.0,0,0.0,0.0,0,0.0,0.0,32,1700000,72,0.0,49.24242424242424,51.785714285714285
Midfielder,0.0,0.0,0.0,0,1.0,0.0,2.0,3.0,5.0,0.0,0,50,25.0,0.0,2.0,50,0.0,1.0,0,0,1,0.0,0,0.0,2.0,50,0.0,0.0,23,24000000,81,0.0,50.0,50.0
Midfielder,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,20,550000,61,0.0,0.0,0.0
Forward,0.0,0.0,21.0,0,9.0,2.0,30.0,0.0,0.0,0.0,0,510,14.17,2.0,16.0,0,0.0,0.0,10,0,53,26.0,9,0.25,60.0,37,0.0,0.0,27,6000000,74,0.0,0.0,0.0
Forward,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,24,4100000,72,0.0,0.0,0.0
Midfielder,0.0,0.0,35.0,54,5.0,14.0,54.0,148.0,10.0,0.0,1,927,37.08,2.0,28.0,32,3.0,64.0,4,0,28,1.0,1,0.04,16.0,38,0.0,0.0,36,1700000,79,0.0,48.62385321100918,47.05882352941177
Defender,0.0,4.0,3.0,67,0.0,4.0,33.0,3.0,0.0,0.0,0,115,23.0,0.0,0.0,0,0.0,7.0,2,0,5,0.0,0,0.0,0.0,0,0.0,0.0,26,4000000,73,0.0,66.66666666666667,77.77777777777777
Defender,4.0,18.0,24.0,71,2.0,12.0,55.0,54.0,12.0,0.0,0,286,19.07,1.0,39.0,26,0.0,23.0,4,0,19,1.0,0,0.0,0.0,0,0.0,0.0,25,1900000,70,0.0,50.0,46.34146341463415
Defender,1.0,5.0,6.0,50,0.0,5.0,46.0,28.0,0.0,0.0,0,181,36.2,0.0,0.0,0,0.0,8.0,1,0,3,0.0,1,0.0,0.0,0,0.0,0.0,21,1400000,68,0.0,36.8421052631579,29.166666666666668
Midfielder,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,32,5000000,77,0.0,0.0,0.0
Midfielder,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,21,140000,56,0.0,0.0,0.0
Defender,0.0,2.0,7.0,43,0.0,1.0,4.0,5.0,0.0,0.0,0,27,27.0,0.0,3.0,0,0.0,2.0,0,0,1,1.0,0,0.0,0.0,0,0.0,0.0,30,4900000,75,0.0,66.66666666666667,50.0
Forward,0.0,0.0,2.0,0,2.0,1.0,2.0,0.0,0.0,0.0,1,95,6.33,1.0,4.0,0,0.0,0.0,0,0,6,4.0,0,0.0,10.0,40,0.0,0.0,23,10500000,76,0.0,0.0,0.0
Forward,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,25,9500000,76,0.0,0.0,0.0
Midfielder,0.0,0.0,27.0,67,1.0,10.0,11.0,73.0,29.0,0.0,4,935,26.71,3.0,50.0,18,2.0,21.0,0,0,9,0.0,6,0.17,25.0,56,0.0,0.0,22,43500000,84,0.0,51.16279069767442,26.31578947368421
Defender,6.0,49.0,48.0,73,7.0,44.0,88.0,146.0,17.0,0.0,4,1480,42.29,3.0,136.0,18,1.0,40.0,2,0,32,1.0,0,0.0,0.0,0,0.0,0.0,27,12000000,80,0.0,51.08695652173913,45.833333333333336
Defender,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,19,600000,62,0.0,0.0,0.0
Midfielder,0.0,0.0,25.0,64,1.0,18.0,20.0,73.0,4.0,0.0,0,371,23.19,1.0,12.0,17,1.0,16.0,3,0,14,1.0,0,0.0,7.0,29,0.0,0.0,21,1500000,67,0.0,55.04587155963303,67.56756756756756
Goalkeeper,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,26,850000,68,0.0,0.0,0.0
Defender,3.0,0.0,6.0,67,1.0,7.0,20.0,23.0,1.0,0.0,0,224,32.0,1.0,26.0,35,0.0,11.0,0,0,4,0.0,0,0.0,0.0,0,0.0,0.0,27,13500000,80,0.0,50.0,57.142857142857146
Midfielder,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,21,575000,62,0.0,0.0,0.0
Forward,0.0,0.0,5.0,0,5.0,2.0,25.0,0.0,0.0,0.0,0,208,13.87,0.0,0.0,0,0.0,0.0,2,0,7,2.0,2,0.13,20.0,35,0.0,0.0,28,13000000,79,0.0,0.0,0.0
Midfielder,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,19,80000,53,0.0,0.0,0.0
Defender,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,20,2800000,70,0.0,0.0,0.0
Goalkeeper,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,37,600000,77,0.0,0.0,0.0
Midfielder,0.0,0.0,37.0,65,14.0,6.0,8.0,81.0,61.0,0.0,2,532,20.46,2.0,40.0,20,6.0,13.0,1,0,27,2.0,2,0.08,30.0,20,0.0,0.0,23,17000000,79,0.0,49.07063197026022,31.57894736842105
